State,Year,Rate
North Carolina,1979,4.8
North Dakota,1979,4.0
Ohio,1979,5.8
Oklahoma,1979,3.4
Oregon,1979,6.7
Pennsylvania,1979,6.9
Rhode Island,1979,6.4
South Carolina,1979,5.0
South Dakota,1979,3.4
Tennessee,1979,5.8
Texas,1979,4.3
Utah,1979,4.3
Vermont,1979,5.1
Virginia,1979,4.7
Washington,1979,6.6
West Virginia,1979,6.9
Wisconsin,1979,4.6
Wyoming,1979,2.7
Alabama,1980,8.9
Alaska,1980,9.6
Arizona,1980,6.6
Arkansas,1980,7.6
California,1980,6.8
Colorado,1980,5.8
Connecticut,1980,5.8
Delaware,1980,7.6
District of Columbia,1980,7.4
Florida,1980,6.1
Georgia,1980,6.3
Hawaii,1980,5.0
Idaho,1980,7.5
Illinois,1980,8.2
Indiana,1980,9.6
Iowa,1980,6.0
Kansas,1980,4.4
Kentucky,1980,8.0
Louisiana,1980,6.9
Maine,1980,7.6
Maryland,1980,6.6
Massachusetts,1980,5.6
Michigan,1980,12.3
Minnesota,1980,5.8
Mississippi,1980,7.4
Missouri,1980,7.2
Montana,1980,6.1
Nebraska,1980,3.9
Nevada,1980,6.2
New Hampshire,1980,4.5
New Jersey,1980,7.2
New Mexico,1980,7.6
New York,1980,7.5
North Carolina,1980,6.4
North Dakota,1980,4.9
Ohio,1980,8.4
Oklahoma,1980,4.4
Oregon,1980,8.5
Pennsylvania,1980,8.0
Rhode Island,1980,7.2
South Carolina,1980,6.7
South Dakota,1980,4.8
Tennessee,1980,7.4
Texas,1980,5.1
Utah,1980,6.2
Vermont,1980,6.2
Virginia,1980,5.2
Washington,1980,8.1
West Virginia,1980,9.5
Wisconsin,1980,7.2
Wyoming,1980,3.9
Alabama,1981,10.6
Alaska,1981,9.4
Arizona,1981,6.2
Arkansas,1981,8.7
California,1981,7.4
Colorado,1981,5.7
Connecticut,1981,6.2
Delaware,1981,7.8
District of Columbia,1981,8.9
Florida,1981,6.7
Georgia,1981,6.4
Hawaii,1981,5.4
Idaho,1981,7.7
Illinois,1981,8.5
Indiana,1981,9.9
Iowa,1981,6.6
Kansas,1981,4.3
Kentucky,1981,8.6
Louisiana,1981,8.4
Maine,1981,7.4
Maryland,1981,7.3
Massachusetts,1981,6.5
Michigan,1981,12.4
Minnesota,1981,5.8
Mississippi,1981,8.5
Missouri,1981,7.6
Montana,1981,6.8
Nebraska,1981,4.2
Nevada,1981,7.2
New Hampshire,1981,5.2
New Jersey,1981,7.4
New Mexico,1981,7.3
New York,1981,7.6
North Carolina,1981,6.5
North Dakota,1981,4.8
Ohio,1981,9.4
Oklahoma,1981,3.6
Oregon,1981,9.8
Pennsylvania,1981,8.4
Rhode Island,1981,7.8
South Carolina,1981,8.1
South Dakota,1981,5.0
Tennessee,1981,9.0
Texas,1981,5.3
Utah,1981,6.6
Vermont,1981,5.8
Virginia,1981,6.0
Washington,1981,9.6
West Virginia,1981,10.6
Wisconsin,1981,8.0
Wyoming,1981,4.1
Alabama,1982,14.1
Alaska,1982,9.9
Arizona,1982,10.1
Arkansas,1982,9.9
California,1982,10.0
Colorado,1982,7.3
Connecticut,1982,6.9
Delaware,1982,8.4
District of Columbia,1982,10.4
Florida,1982,8.4
Georgia,1982,7.8
Hawaii,1982,6.3
Idaho,1982,9.9
Illinois,1982,11.4
Indiana,1982,12.0
Iowa,1982,8.5
Kansas,1982,6.3
Kentucky,1982,10.8
Louisiana,1982,10.3
Maine,1982,8.4
Maryland,1982,8.3
Massachusetts,1982,7.7
Michigan,1982,15.4
Minnesota,1982,7.9
Mississippi,1982,11.1
Missouri,1982,9.2
Montana,1982,8.5
Nebraska,1982,5.6
Nevada,1982,9.9
New Hampshire,1982,6.8
New Jersey,1982,8.7
New Mexico,1982,9.2
New York,1982,8.5
North Carolina,1982,9.2
North Dakota,1982,5.6
Ohio,1982,12.7
Oklahoma,1982,6.0
Oregon,1982,11.5
Pennsylvania,1982,11.2
Rhode Island,1982,9.7
South Carolina,1982,11.1
South Dakota,1982,5.5
Tennessee,1982,11.7
Texas,1982,6.9
Utah,1982,8.2
Vermont,1982,7.0
Virginia,1982,7.4
Washington,1982,11.9
West Virginia,1982,14.0
Wisconsin,1982,10.5
Wyoming,1982,6.2
Alabama,1983,13.8
Alaska,1983,9.9
Arizona,1983,8.8
Arkansas,1983,9.9
California,1983,9.8
Colorado,1983,7.1
Connecticut,1983,6.0
Delaware,1983,7.7
District of Columbia,1983,11.2
Florida,1983,8.5
Georgia,1983,7.7
Hawaii,1983,6.2
Idaho,1983,8.9
Illinois,1983,11.8
Indiana,1983,11.2
Iowa,1983,8.1
Kansas,1983,5.9
Kentucky,1983,11.4
Louisiana,1983,11.5
Maine,1983,8.3
Maryland,1983,7.0
Massachusetts,1983,6.8
Michigan,1983,14.4
Minnesota,1983,8.0
Mississippi,1983,12.1
Missouri,1983,9.9
Montana,1983,8.6
Nebraska,1983,5.6
Nevada,1983,9.6
New Hampshire,1983,5.5
New Jersey,1983,8.0
New Mexico,1983,9.7
New York,1983,8.7
North Carolina,1983,9.0
North Dakota,1983,5.7
Ohio,1983,12.4
Oklahoma,1983,8.4
Oregon,1983,10.8
Pennsylvania,1983,11.5
Rhode Island,1983,8.3
South Carolina,1983,9.9
South Dakota,1983,5.2
Tennessee,1983,11.5
Texas,1983,7.9
Utah,1983,8.7
Vermont,1983,6.4
Virginia,1983,6.4
Washington,1983,11.1
West Virginia,1983,17.8
Wisconsin,1983,10.2
Wyoming,1983,8.2
Alabama,1984,11.0
Alaska,1984,9.8
Arizona,1984,5.2
Arkansas,1984,8.7
California,1984,7.8
Colorado,1984,5.4
Connecticut,1984,4.7
Delaware,1984,6.3
District of Columbia,1984,9.1
Florida,1984,6.4
Georgia,1984,6.1
Hawaii,1984,5.7
Idaho,1984,7.3
Illinois,1984,9.0
Indiana,1984,8.6
Iowa,1984,7.0
Kansas,1984,4.9
Kentucky,1984,9.3
Louisiana,1984,10.1
Maine,1984,6.2
Maryland,1984,5.4
Massachusetts,1984,4.8
Michigan,1984,11.2
Minnesota,1984,6.3
Mississippi,1984,10.5
Missouri,1984,7.2
Montana,1984,7.6
Nebraska,1984,4.5
Nevada,1984,7.9
New Hampshire,1984,4.3
New Jersey,1984,6.2
New Mexico,1984,7.8
New York,1984,7.2
North Carolina,1984,6.7
North Dakota,1984,5.3
Ohio,1984,9.5
Oklahoma,1984,7.1
Oregon,1984,9.4
Pennsylvania,1984,9.1
Rhode Island,1984,5.5
South Carolina,1984,6.9
South Dakota,1984,4.4
Tennessee,1984,8.5
Texas,1984,6.1
Utah,1984,6.5
Vermont,1984,5.1
Virginia,1984,5.1
Washington,1984,9.3
West Virginia,1984,14.8
Wisconsin,1984,7.4
Wyoming,1984,6.3
Alabama,1985,9.2
Alaska,1985,9.7
Arizona,1985,6.3
Arkansas,1985,8.7
California,1985,7.2
Colorado,1985,6.1
Connecticut,1985,4.7
Delaware,1985,5.1
District of Columbia,1985,8.1
Florida,1985,6.0
Georgia,1985,6.4
Hawaii,1985,5.4
Idaho,1985,7.9
Illinois,1985,9.1
Indiana,1985,7.8
Iowa,1985,7.5
Kansas,1985,5.1
Kentucky,1985,9.2
Louisiana,1985,11.6
Maine,1985,5.5
Maryland,1985,4.6
Massachusetts,1985,4.0
Michigan,1985,10.0
Minnesota,1985,6.0
Mississippi,1985,10.4
Missouri,1985,6.5
Montana,1985,7.7
Nebraska,1985,5.2
Nevada,1985,7.7
New Hampshire,1985,3.7
New Jersey,1985,5.6
New Mexico,1985,8.3
New York,1985,6.6
North Carolina,1985,5.6
North Dakota,1985,5.7
Ohio,1985,8.9
Oklahoma,1985,7.2
Oregon,1985,8.8
Pennsylvania,1985,8.0
Rhode Island,1985,4.6
South Carolina,1985,6.9
South Dakota,1985,4.8
Tennessee,1985,7.9
Texas,1985,7.0
Utah,1985,6.0
Vermont,1985,4.8
Virginia,1985,5.5
Washington,1985,8.4
West Virginia,1985,13.1
Wisconsin,1985,7.2
Wyoming,1985,6.9
Alabama,1986,9.7
Alaska,1986,10.9
Arizona,1986,6.9
Arkansas,1986,8.6
California,1986,6.7
Colorado,1986,7.5
Connecticut,1986,3.8
Delaware,1986,4.3
District of Columbia,1986,7.5
Florida,1986,5.8
Georgia,1986,6.0
Hawaii,1986,4.8
Idaho,1986,8.4
Illinois,1986,8.3
Indiana,1986,6.9
Iowa,1986,6.8
Kansas,1986,5.3
Kentucky,1986,9.4
Louisiana,1986,12.8
Maine,1986,5.3
Maryland,1986,4.6
Massachusetts,1986,3.9
Michigan,1986,8.8
Minnesota,1986,5.5
Mississippi,1986,11.4
Missouri,1986,6.2
Montana,1986,7.9
Nebraska,1986,5.0
Nevada,1986,6.2
New Hampshire,1986,2.8
New Jersey,1986,5.0
New Mexico,1986,9.3
New York,1986,6.2
North Carolina,1986,5.3
North Dakota,1986,5.9
Ohio,1986,8.3
Oklahoma,1986,8.2
Oregon,1986,8.0
Pennsylvania,1986,6.9
Rhode Island,1986,4.1
South Carolina,1986,6.4
South Dakota,1986,4.6
Tennessee,1986,7.9
Texas,1986,8.8
Utah,1986,6.1
Vermont,1986,4.3
Virginia,1986,5.0
Washington,1986,8.1
West Virginia,1986,11.8
Wisconsin,1986,7.0
Wyoming,1986,8.9
Alabama,1987,8.1
Alaska,1987,10.3
Arizona,1987,6.5
Arkansas,1987,8.1
California,1987,5.8
Colorado,1987,7.5
Connecticut,1987,3.4
Delaware,1987,3.1
District of Columbia,1987,6.3
Florida,1987,5.3
Georgia,1987,5.7
Hawaii,1987,3.8
Idaho,1987,7.6
Illinois,1987,7.4
Indiana,1987,6.2
Iowa,1987,5.5
Kansas,1987,4.8
Kentucky,1987,8.5
Louisiana,1987,12.1
Maine,1987,4.4
Maryland,1987,4.4
Massachusetts,1987,3.2
Michigan,1987,8.3
Minnesota,1987,5.1
Mississippi,1987,10.0
Missouri,1987,6.3
Montana,1987,7.4
Nebraska,1987,4.4
Nevada,1987,6.1
New Hampshire,1987,2.3
New Jersey,1987,4.1
New Mexico,1987,8.7
New York,1987,4.9
North Carolina,1987,4.5
North Dakota,1987,5.0
Ohio,1987,7.1
Oklahoma,1987,7.3
Oregon,1987,6.3
Pennsylvania,1987,5.6
Rhode Island,1987,3.6
South Carolina,1987,5.5
South Dakota,1987,4.2
Tennessee,1987,6.6
Texas,1987,8.4
Utah,1987,6.2
Vermont,1987,3.6
Virginia,1987,4.3
Washington,1987,7.3
West Virginia,1987,10.8
Wisconsin,1987,5.9
Wyoming,1987,8.0
Alabama,1988,7.2
Alaska,1988,8.8
Arizona,1988,6.4
Arkansas,1988,7.6
California,1988,5.3
Colorado,1988,6.5
Connecticut,1988,3.0
Delaware,1988,3.1
District of Columbia,1988,5.0
Florida,1988,5.1
Georgia,1988,5.7
Hawaii,1988,3.2
Idaho,1988,6.0
Illinois,1988,6.7
Indiana,1988,5.2
Iowa,1988,4.5
Kansas,1988,4.5
Kentucky,1988,7.6
Louisiana,1988,10.8
Maine,1988,3.6
Maryland,1988,4.3
Massachusetts,1988,3.3
Michigan,1988,7.5
Minnesota,1988,4.3
Mississippi,1988,8.4
Missouri,1988,5.7
Montana,1988,6.6
Nebraska,1988,3.6
Nevada,1988,5.2
New Hampshire,1988,2.4
New Jersey,1988,3.8
New Mexico,1988,7.5
New York,1988,4.3
North Carolina,1988,3.6
North Dakota,1988,4.7
Ohio,1988,6.0
Oklahoma,1988,6.4
Oregon,1988,5.8
Pennsylvania,1988,5.0
Rhode Island,1988,3.1
South Carolina,1988,4.7
South Dakota,1988,4.1
Tennessee,1988,5.8
Texas,1988,7.3
Utah,1988,5.0
Vermont,1988,3.0
Virginia,1988,3.9
Washington,1988,6.3
West Virginia,1988,9.8
Wisconsin,1988,4.4
Wyoming,1988,6.5
Alabama,1989,7.0
Alaska,1989,7.0
Arizona,1989,5.3
Arkansas,1989,7.0
California,1989,5.1
Colorado,1989,5.7
Connecticut,1989,3.8
Delaware,1989,3.5
District of Columbia,1989,4.9
Florida,1989,5.6
Georgia,1989,5.5
Hawaii,1989,2.5
Idaho,1989,5.3
Illinois,1989,6.0
Indiana,1989,4.9
Iowa,1989,4.2
Kansas,1989,4.2
Kentucky,1989,6.4
Louisiana,1989,8.0
Maine,1989,4.0
Maryland,1989,3.8
Massachusetts,1989,4.2
Michigan,1989,7.1
Minnesota,1989,4.3
Mississippi,1989,7.8
Missouri,1989,5.5
Montana,1989,5.8
Nebraska,1989,2.9
Nevada,1989,4.7
New Hampshire,1989,3.5
New Jersey,1989,4.1
New Mexico,1989,6.7
New York,1989,5.0
North Carolina,1989,3.5
North Dakota,1989,4.3
Ohio,1989,5.5
Oklahoma,1989,5.6
Oregon,1989,5.4
Pennsylvania,1989,4.7
Rhode Island,1989,4.1
South Carolina,1989,4.6
South Dakota,1989,4.0
Tennessee,1989,5.1
Texas,1989,6.7
Utah,1989,4.5
Vermont,1989,3.5
Virginia,1989,3.9
Washington,1989,5.9
West Virginia,1989,8.6
Wisconsin,1989,4.3
Wyoming,1989,6.1
Alabama,1990,6.8
Alaska,1990,7.2
Arizona,1990,5.3
Arkansas,1990,6.9
California,1990,5.8
Colorado,1990,5.2
Connecticut,1990,5.1
Delaware,1990,4.7
District of Columbia,1990,6.3
Florida,1990,6.1
Georgia,1990,5.5
Hawaii,1990,2.7
Idaho,1990,5.5
Illinois,1990,6.1
Indiana,1990,5.3
Iowa,1990,4.4
Kansas,1990,4.3
Kentucky,1990,6.0
Louisiana,1990,6.2
Maine,1990,5.3
Maryland,1990,4.5
Massachusetts,1990,6.3
Michigan,1990,7.6
Minnesota,1990,4.8
Mississippi,1990,7.6
Missouri,1990,5.8
Montana,1990,6.0
Nebraska,1990,2.3
Nevada,1990,4.7
New Hampshire,1990,5.7
New Jersey,1990,5.0
New Mexico,1990,6.6
New York,1990,5.3
North Carolina,1990,4.1
North Dakota,1990,4.0
Ohio,1990,5.6
Oklahoma,1990,5.7
Oregon,1990,5.5
Pennsylvania,1990,5.5
Rhode Island,1990,6.3
South Carolina,1990,4.8
South Dakota,1990,3.8
Tennessee,1990,5.3
Texas,1990,6.3
Utah,1990,4.4
Vermont,1990,5.0
Virginia,1990,4.5
Washington,1990,5.2
West Virginia,1990,8.5
Wisconsin,1990,4.4
Wyoming,1990,5.3
Alabama,1991,7.3
Alaska,1991,8.5
Arizona,1991,5.9
Arkansas,1991,7.4
California,1991,7.7
Colorado,1991,5.3
Connecticut,1991,6.5
Delaware,1991,6.2
District of Columbia,1991,7.8
Florida,1991,7.5
Georgia,1991,5.2
Hawaii,1991,2.9
Idaho,1991,6.2
Illinois,1991,7.3
Indiana,1991,6.0
Iowa,1991,4.7
Kansas,1991,4.4
Kentucky,1991,7.3
Louisiana,1991,7.3
Maine,1991,7.5
Maryland,1991,6.1
Massachusetts,1991,8.6
Michigan,1991,9.2
Minnesota,1991,5.1
Mississippi,1991,8.5
Missouri,1991,6.6
Montana,1991,6.9
Nebraska,1991,2.7
Nevada,1991,5.8
New Hampshire,1991,7.3
New Jersey,1991,6.7
New Mexico,1991,7.1
New York,1991,7.2
North Carolina,1991,5.8
North Dakota,1991,4.4
Ohio,1991,6.5
Oklahoma,1991,6.3
Oregon,1991,6.4
Pennsylvania,1991,7.0
Rhode Island,1991,8.6
South Carolina,1991,6.1
South Dakota,1991,3.5
Tennessee,1991,6.8
Texas,1991,6.9
Utah,1991,4.7
Vermont,1991,6.6
Virginia,1991,5.9
Washington,1991,6.3
West Virginia,1991,10.6
Wisconsin,1991,5.5
Wyoming,1991,5.2
Alabama,1992,7.6
Alaska,1992,8.9
Arizona,1992,7.5
Arkansas,1992,7.1
California,1992,9.3
Colorado,1992,6.0
Connecticut,1992,7.6
Delaware,1992,5.4
District of Columbia,1992,8.6
Florida,1992,8.2
Georgia,1992,6.9
Hawaii,1992,4.3
Idaho,1992,6.4
Illinois,1992,7.9
Indiana,1992,6.6
Iowa,1992,4.5
Kansas,1992,4.5
Kentucky,1992,6.9
Louisiana,1992,8.0
Maine,1992,7.3
Maryland,1992,6.8
Massachusetts,1992,8.5
Michigan,1992,9.0
Minnesota,1992,5.1
Mississippi,1992,8.1
Missouri,1992,6.2
Montana,1992,6.7
Nebraska,1992,2.9
Nevada,1992,6.7
New Hampshire,1992,7.3
New Jersey,1992,8.4
New Mexico,1992,7.2
New York,1992,8.6
North Carolina,1992,6.0
North Dakota,1992,4.7
Ohio,1992,7.4
Oklahoma,1992,6.0
Oregon,1992,7.4
Pennsylvania,1992,7.6
Rhode Island,1992,8.9
South Carolina,1992,6.7
South Dakota,1992,3.3
Tennessee,1992,6.5
Texas,1992,7.6
Utah,1992,4.8
Vermont,1992,6.1
Virginia,1992,6.3
Washington,1992,7.3
West Virginia,1992,11.3
Wisconsin,1992,5.1
Wyoming,1992,5.6
Alabama,1993,7.3
Alaska,1993,7.7
Arizona,1993,6.4
Arkansas,1993,6.1
California,1993,9.5
Colorado,1993,5.3
Connecticut,1993,6.6
Delaware,1993,5.1
District of Columbia,1993,8.5
Florida,1993,7.1
Georgia,1993,6.0
Hawaii,1993,4.5
Idaho,1993,6.0
Illinois,1993,7.4
Indiana,1993,5.4
Iowa,1993,4.0
Kansas,1993,5.0
Kentucky,1993,6.2
Louisiana,1993,7.6
Maine,1993,7.3
Maryland,1993,6.2
Massachusetts,1993,7.0
Michigan,1993,7.2
Minnesota,1993,5.0
Mississippi,1993,6.6
Missouri,1993,6.2
Montana,1993,6.0
Nebraska,1993,2.8
Nevada,1993,6.8
New Hampshire,1993,6.1
New Jersey,1993,7.6
New Mexico,1993,7.0
New York,1993,7.9
North Carolina,1993,5.0
North Dakota,1993,4.3
Ohio,1993,6.6
Oklahoma,1993,5.9
Oregon,1993,7.0
Pennsylvania,1993,7.0
Rhode Island,1993,7.7
South Carolina,1993,7.3
South Dakota,1993,3.4
Tennessee,1993,5.8
Texas,1993,7.2
Utah,1993,4.1
Vermont,1993,5.2
Virginia,1993,5.2
Washington,1993,7.3
West Virginia,1993,10.6
Wisconsin,1993,4.8
Wyoming,1993,5.3
Alabama,1994,6.2
Alaska,1994,7.6
Arizona,1994,6.1
Arkansas,1994,5.4
California,1994,8.6
Colorado,1994,4.2
Connecticut,1994,5.6
Delaware,1994,4.8
District of Columbia,1994,8.0
Florida,1994,6.4
Georgia,1994,5.2
Hawaii,1994,5.5
Idaho,1994,5.4
Illinois,1994,5.8
Indiana,1994,4.9
Iowa,1994,3.5
Kansas,1994,4.9
Kentucky,1994,5.4
Louisiana,1994,7.8
Maine,1994,7.0
Maryland,1994,5.3
Massachusetts,1994,6.0
Michigan,1994,6.0
Minnesota,1994,4.1
Mississippi,1994,6.3
Missouri,1994,5.1
Montana,1994,5.2
Nebraska,1994,2.6
Nevada,1994,6.2
New Hampshire,1994,4.7
New Jersey,1994,6.8
New Mexico,1994,6.5
New York,1994,6.9
North Carolina,1994,4.4
North Dakota,1994,3.7
Ohio,1994,5.6
Oklahoma,1994,5.6
Oregon,1994,5.4
Pennsylvania,1994,6.3
Rhode Island,1994,6.9
South Carolina,1994,6.2
South Dakota,1994,3.3
Tennessee,1994,4.8
Texas,1994,6.5
Utah,1994,3.8
Vermont,1994,4.6
Virginia,1994,4.9
Washington,1994,6.6
West Virginia,1994,8.8
Wisconsin,1994,4.5
Wyoming,1994,5.0
Alabama,1995,6.0
Alaska,1995,7.3
Arizona,1995,5.3
Arkansas,1995,4.8
California,1995,7.9
Colorado,1995,4.0
Connecticut,1995,5.5
Delaware,1995,4.3
District of Columbia,1995,8.8
Florida,1995,5.5
Georgia,1995,4.8
Hawaii,1995,5.9
Idaho,1995,5.4
Illinois,1995,5.2
Indiana,1995,4.6
Iowa,1995,3.4
Kansas,1995,4.4
Kentucky,1995,5.4
Louisiana,1995,7.0
Maine,1995,6.0
Maryland,1995,5.0
Massachusetts,1995,5.3
Michigan,1995,5.3
Minnesota,1995,3.7
Mississippi,1995,6.2
Missouri,1995,4.7
Montana,1995,5.7
Nebraska,1995,2.6
Nevada,1995,5.6
New Hampshire,1995,4.0
New Jersey,1995,6.4
New Mexico,1995,6.6
New York,1995,6.3
North Carolina,1995,4.3
North Dakota,1995,3.2
Ohio,1995,4.8
Oklahoma,1995,4.6
Oregon,1995,4.9
Pennsylvania,1995,5.9
Rhode Island,1995,6.3
South Carolina,1995,5.2
South Dakota,1995,3.0
Tennessee,1995,5.2
Texas,1995,6.1
Utah,1995,3.5
Vermont,1995,4.3
Virginia,1995,4.5
Washington,1995,6.4
West Virginia,1995,7.9
Wisconsin,1995,3.8
Wyoming,1995,4.8
Alabama,1996,5.2
Alaska,1996,7.6
Arizona,1996,5.6
Arkansas,1996,5.3
California,1996,7.3
Colorado,1996,4.2
Connecticut,1996,5.5
Delaware,1996,5.1
District of Columbia,1996,8.4
Florida,1996,5.2
Georgia,1996,4.7
Hawaii,1996,6.3
Idaho,1996,5.3
Illinois,1996,5.3
Indiana,1996,4.1
Iowa,1996,3.5
Kansas,1996,4.3
Kentucky,1996,5.5
Louisiana,1996,6.6
Maine,1996,5.2
Maryland,1996,5.0
Massachusetts,1996,4.4
Michigan,1996,4.9
Minnesota,1996,4.0
Mississippi,1996,6.0
Missouri,1996,4.8
Montana,1996,5.3
Nebraska,1996,2.7
Nevada,1996,5.0
New Hampshire,1996,3.8
New Jersey,1996,6.1
New Mexico,1996,7.2
New York,1996,6.2
North Carolina,1996,4.3
North Dakota,1996,2.9
Ohio,1996,5.0
Oklahoma,1996,4.1
Oregon,1996,5.7
Pennsylvania,1996,5.4
Rhode Island,1996,5.4
South Carolina,1996,5.8
South Dakota,1996,3.2
Tennessee,1996,5.2
Texas,1996,5.7
Utah,1996,3.4
Vermont,1996,4.3
Virginia,1996,4.4
Washington,1996,6.1
West Virginia,1996,7.5
Wisconsin,1996,3.6
Wyoming,1996,4.9
Alabama,1997,5.0
Alaska,1997,7.1
Arizona,1997,4.6
Arkansas,1997,5.2
California,1997,6.4
Colorado,1997,3.5
Connecticut,1997,5.0
Delaware,1997,4.0
District of Columbia,1997,8.0
Florida,1997,4.8
Georgia,1997,4.6
Hawaii,1997,6.2
Idaho,1997,5.1
Illinois,1997,4.8
Indiana,1997,3.5
Iowa,1997,3.1
Kansas,1997,3.8
Kentucky,1997,5.3
Louisiana,1997,6.0
Maine,1997,5.1
Maryland,1997,5.0
Massachusetts,1997,3.9
Michigan,1997,4.3
Minnesota,1997,3.3
Mississippi,1997,5.7
Missouri,1997,4.3
Montana,1997,5.3
Nebraska,1997,2.5
Nevada,1997,4.4
New Hampshire,1997,3.3
New Jersey,1997,5.3
New Mexico,1997,6.3
New York,1997,6.4
North Carolina,1997,3.7
North Dakota,1997,2.7
Ohio,1997,4.6
Oklahoma,1997,4.1
Oregon,1997,5.7
Pennsylvania,1997,5.1
Rhode Island,1997,5.1
South Carolina,1997,4.6
South Dakota,1997,2.9
Tennessee,1997,5.3
Texas,1997,5.3
Utah,1997,3.2
Vermont,1997,3.9
Virginia,1997,3.8
Washington,1997,4.9
West Virginia,1997,6.9
Wisconsin,1997,3.6
Wyoming,1997,4.8
Alabama,1998,4.4
Alaska,1998,6.3
Arizona,1998,4.3
Arkansas,1998,5.2
